nombre producto,precio,link,categoria,fecha
Powder Lite Jacket,$109.990,https://www.columbiachile.cl/parka-mujer-powder-lite-jacket-columbia-1699061/p?property__Color=%28671%29%20MALBEC,mujer,2022-07-25
Powder Lite Jacket,$64.990,https://www.columbiachile.cl/parka-mujer-powder-lite-jacket-columbia-1699061/p?property__Color=%28684%29%20DEEP%20BLUSH,mujer,2022-07-25
Powder Lite Jacket,$64.990,https://www.columbiachile.cl/parka-mujer-powder-lite-jacket-columbia-1699061/p?property__Color=%28592%29%20NOCTURNAL,mujer,2022-07-25
Powder Lite Jacket,$89.990,https://www.columbiachile.cl/parka-mujer-powder-lite-jacket-columbia-1699061/p?property__Color=%28593%29%20EVE,mujer,2022-07-25
W Park View Grid Fleece 1/2 Zip,$49.990,https://www.columbiachile.cl/polar-mujer-park-view-grid-fleec-columbia-1959711/p?property__Color=%28010%29%20BLACK,mujer,2022-07-25
W Park View Grid Fleece 1/2 Zip,$64.990,https://www.columbiachile.cl/polar-mujer-park-view-grid-fleec-columbia-1959711/p?property__Color=%28673%29%20BRIGHT%20GERANIU,mujer,2022-07-25
W Park View Grid Fleece 1/2 Zip,$49.990,https://www.columbiachile.cl/polar-mujer-park-view-grid-fleec-columbia-1959711/p?property__Color=%28363%29%20SEA%20WAVE,mujer,2022-07-25
CITY TREK REVERSIBLE,$17.990,https://www.columbiachile.cl/gorro-otros-city-trek-reversible-columbia-1911271/p?property__Color=%28465%29COLLEGIATE%20NAVY,mujer,2022-07-25
W Sweater Weather Fu,$79.990,https://www.columbiachile.cl/polar-mujer-w-sweater-weather-fu-columbia-1958931/p?property__Color=%28010%29%20BLACK%20HEATHER,mujer,2022-07-25
W Sweater Weather Fu,$79.990,https://www.columbiachile.cl/polar-mujer-w-sweater-weather-fu-columbia-1958931/p?property__Color=%28671%29%20MALBEC,mujer,2022-07-25
Polerón Northern Comfort™ Hybrid,$89.990,https://www.columbiachile.cl/clb-poleron-mujer-northern-hybrid-1812291/p?property__Color=%28319%29%20OLIVE%20GREEN,mujer,2022-07-25
Polerón Northern Comfort™ Hybrid,$64.990,https://www.columbiachile.cl/clb-poleron-mujer-northern-hybrid-1812291/p?property__Color=%28472%29%20NOCTURNAL,mujer,2022-07-25
Polar Glacial™ IV 1/2 Zip,$39.990,https://www.columbiachile.cl/clb-polar-mujer-glacial-iv-12-zip-1802201/p?property__Color=%28468%29%20FADED%20SKY,mujer,2022-07-25
Polar Glacial™ IV 1/2 Zip,$49.990,https://www.columbiachile.cl/clb-polar-mujer-glacial-iv-12-zip-1802201/p?property__Color=%28607%29%20BEET,mujer,2022-07-25
Polar Glacial™ IV 1/2 Zip,$34.990,https://www.columbiachile.cl/clb-polar-mujer-glacial-iv-12-zip-1802201/p?property__Color=%28125%29%20SEA%20SALT,mujer,2022-07-25
Polar Glacial™ IV 1/2 Zip,$49.990,https://www.columbiachile.cl/clb-polar-mujer-glacial-iv-12-zip-1802201/p?property__Color=%28605%29%20BLOSSOM%20PINK,mujer,2022-07-25
Polar Glacial™ IV 1/2 Zip,$39.990,https://www.columbiachile.cl/clb-polar-mujer-glacial-iv-12-zip-1802201/p?property__Color=%28010%29%20BLACK,mujer,2022-07-25
W Polar Powder Fleec,$64.990,https://www.columbiachile.cl/poleron-mujer-w-polar-powder-flee-columbia-1920281/p?property__Color=%28671%29%20MALBEC,mujer,2022-07-25
W Polar Powder Fleec,$64.990,https://www.columbiachile.cl/poleron-mujer-w-polar-powder-flee-columbia-1920281/p?property__Color=%28010%29%20BLACK,mujer,2022-07-25
Windgates Hooded Jkt,$99.990,https://www.columbiachile.cl/parka-mujer-windgates-hooded-jkt-columbia-1803861/p?property__Color=%28674%29%20FAUX%20PINK,mujer,2022-07-25
Parka Windgates™,$89.990,https://www.columbiachile.cl/clb-parka-mujer-windgates-jacket-1802841/p?property__Color=%28472%29%20DARK%20NOCTURNAL,mujer,2022-07-25
Parka Windgates™,$89.990,https://www.columbiachile.cl/clb-parka-mujer-windgates-jacket-1802841/p?property__Color=%28607%29%20BEET,mujer,2022-07-25
Parka Windgates™,$89.990,https://www.columbiachile.cl/clb-parka-mujer-windgates-jacket-1802841/p?property__Color=%28011%29%20SHARK,mujer,2022-07-25
Parka Hillsdale™ Spring Reversible,$74.990,https://www.columbiachile.cl/clb-parka-mujer-hillsdale-reversible-1832351/p?property__Color=%28677%29%20ROSE%20DUST,mujer,2022-07-25
Parka Delta Ridge™ Down Hooded,$104.990,https://www.columbiachile.cl/clb-parka-mujer-delta-ridge-jacket-1875931/p?property__Color=%28466%29%20NOCTURNAL,mujer,2022-07-25
Parka Windgates™ Hooded,$99.990,https://www.columbiachile.cl/clb-parka-mujer-windgates-hod-jacket-1803861/p?property__Color=%28472%29%20DARK%20NOCTURNAL,mujer,2022-07-25
Parka Windgates™ Hooded,$99.990,https://www.columbiachile.cl/clb-parka-mujer-windgates-hod-jacket-1803861/p?property__Color=%28607%29%20BEET%20HEATHER,mujer,2022-07-25
Powder Lite Hooded,$99.990,https://www.columbiachile.cl/parka-mujer-powder-lite-hooded-columbia-1699071/p?property__Color=%28465%29%20NOCTURNAL,mujer,2022-07-25
Powder Lite Hooded,$109.990,https://www.columbiachile.cl/parka-mujer-powder-lite-hooded-columbia-1699071/p?property__Color=%28011%29BLACK,mujer,2022-07-25
Cortaviento East Park™ Mackintosh,$149.990,https://www.columbiachile.cl/clb-cortaviento-mujer-east-park-jacket-1887192/p?property__Color=%28010%29%20BLACK,mujer,2022-07-25
Cortaviento East Park™ Mackintosh,$149.990,https://www.columbiachile.cl/clb-cortaviento-mujer-east-park-jacket-1887192/p?property__Color=%28466%29%20NOCTURNAL,mujer,2022-07-25
Polar Chillin™ Non Hooded,$89.990,https://www.columbiachile.cl/clb-polar-mujer-chillin-fleece-non-1816641/p?property__Color=%28619%29%20MARSALA%20RED,mujer,2022-07-25
Polar Chillin™ Non Hooded,$54.990,https://www.columbiachile.cl/clb-polar-mujer-chillin-fleece-non-1816641/p?property__Color=%28473%29%20DARK%20NOCTURNA,mujer,2022-07-25
Polar Chillin™ Non Hooded,$89.990,https://www.columbiachile.cl/clb-polar-mujer-chillin-fleece-non-1816641/p?property__Color=%28192%29%20CHALK,mujer,2022-07-25
Delta Ridge Long Jkt,$139.990,https://www.columbiachile.cl/parka-mujer-delta-ridge-long-jkt-columbia-1909251/p?property__Color=%28397%29%20STONE%20GREEN,mujer,2022-07-25
Delta Ridge Long Jkt,$139.990,https://www.columbiachile.cl/parka-mujer-delta-ridge-long-jkt-columbia-1909251/p?property__Color=%28010%29%20BLACK,mujer,2022-07-25
Parka Wildside™,$124.990,https://www.columbiachile.cl/clb-parka-mujer-wildside-jacket-1799271/p?property__Color=%28658%29%20RED%20LILY,mujer,2022-07-25
Basin Trail Iii Full,$41.990,https://www.columbiachile.cl/polar-mujer-basin-trail-iii-full-columbia-1938041/p?property__Color=%28191%29%20CHALK,mujer,2022-07-25
Basin Trail Iii Full,$41.990,https://www.columbiachile.cl/polar-mujer-basin-trail-iii-full-columbia-1938041/p?property__Color=%28430%29CANYON%20BLUE,mujer,2022-07-25
Parka Charter Oak Down,$74.990,https://www.columbiachile.cl/clb-parka-mujer-charter-oak-down-1824741/p?property__Color=%28550%29%20WINE%20BERRY,mujer,2022-07-25
Parka Windgates™ Insulated,$109.990,https://www.columbiachile.cl/clb-parka-mujer-windgates-insulated-1860321/p?property__Color=%28638%29%20DUSTY,mujer,2022-07-25
Parka Windgates™ Insulated,$109.990,https://www.columbiachile.cl/clb-parka-mujer-windgates-insulated-1860321/p?property__Color=%28607%29%20BEET,mujer,2022-07-25
Parka Windgates™ Insulated,$109.990,https://www.columbiachile.cl/clb-parka-mujer-windgates-insulated-1860321/p?property__Color=%28556%29%20NEW%20MOON,mujer,2022-07-25
Parka Sister Brook Down,$74.990,https://www.columbiachile.cl/clb-parka-mujer-sister-brook-down-1743101/p?property__Color=%28593%29%20EVE,mujer,2022-07-25
Parka Sister Brook Down,$74.990,https://www.columbiachile.cl/clb-parka-mujer-sister-brook-down-1743101/p?property__Color=%28624%29%20RICH%20WINE,mujer,2022-07-25
Parka Alpine Traverse™,$89.990,https://www.columbiachile.cl/clb-parka-mujer-alpine-traverse-1794771/p?property__Color=%28864%29%20ZING,mujer,2022-07-25
Casaca Whirlibird™ III Interchange,$169.990,https://www.columbiachile.cl/clb-casaca-mujer-whirlibirth-iii-inte-1801151/p?property__Color=%28491%29%20COMPASS%20BLUE,mujer,2022-07-25
Trailstorm Mid Water,$119.990,https://www.columbiachile.cl/botin-mujer-trailstorm-mid-water-columbia-1938901/p?property__Color=%28053%29%20GRAPHITE,mujer,2022-07-25
Trailstorm Mid Water,$89.990,https://www.columbiachile.cl/botin-mujer-trailstorm-mid-water-columbia-1938901/p?property__Color=%28099%29%20SLATE%20GREY,mujer,2022-07-25
Trailstorm Mid Water,$119.990,https://www.columbiachile.cl/botin-mujer-trailstorm-mid-water-columbia-1938901/p?property__Color=%28616%29%20MARIONBERRY,mujer,2022-07-25
Botín Newton Ridge™ Plus,$109.990,https://www.columbiachile.cl/clb-botin-mujer-newton-ridge-plus-bl3783/p?property__Color=%28231%29%20CORDOVAN,mujer,2022-07-25
Botín Newton Ridge™ Plus,$109.990,https://www.columbiachile.cl/clb-botin-mujer-newton-ridge-plus-bl3783/p?property__Color=%28052%29%20QUARRY,mujer,2022-07-25
TRAILSTORM¿ BEYOND WIDE,$89.990,https://www.columbiachile.cl/zapatilla-mujer-trailstorm-beyond-columbia-1945531/p?property__Color=%28439%29%20ABYSS,mujer,2022-07-25
Crestwood Waterproof,$89.990,https://www.columbiachile.cl/zapatilla-mujer-crestwood-waterproof-columbia-1765411/p?property__Color=%28227%29%20PEBBLE,mujer,2022-07-25
