nombre producto,precio,link,categoria,fecha
ESCAPE™ THRIVE ULTRA™,$169.990,https://www.columbiachile.cl/zapatilla-hombre-escape-thrive-ultra-columbia-1979561/p?property__Color=%28400%29%20DEEP%20MARINE,hombre,2022-07-27
TRAILSTORM¿ PEAK MID,$119.990,https://www.columbiachile.cl/botin-hombre-trailstorm-peak-mid-columbia-1987041/p?property__Color=%28231%29%20CORDOVAN,hombre,2022-07-27
Zapatilla Dorado™ Slip II,$69.990,https://www.columbiachile.cl/clb-zapatilla-hombre-dorado-slip-ii-1889441/p?property__Color=%28247%29%20CANVAS%20TAN,hombre,2022-07-27
Zapatilla Dorado™ Slip II,$69.990,https://www.columbiachile.cl/clb-zapatilla-hombre-dorado-slip-ii-1889441/p?property__Color=%28033%29%20TI%20GREY%20STEEL,hombre,2022-07-27
Chaqueta Tummil Pines™ Field,$109.990,https://www.columbiachile.cl/clb-chaqueta-hombre-tummil-pines-field-1895771/p?property__Color=%28316%29%20CYPRESS,hombre,2022-07-27
Chaqueta Tummil Pines™ Field,$109.990,https://www.columbiachile.cl/clb-chaqueta-hombre-tummil-pines-field-1895771/p?property__Color=%28010%29%20BLACK,hombre,2022-07-27
Chaqueta Tummil Pines™ Field,$109.990,https://www.columbiachile.cl/clb-chaqueta-hombre-tummil-pines-field-1895771/p?property__Color=%28835%29%20CARNELIAN%20RED,hombre,2022-07-27
WATERTIGHT II JACKET,$89.990,https://www.columbiachile.cl/clb-cortaviento-hombre-watertight-ii-jacket-rm2433/p?property__Color=%28464%29COLLEGIATE%20NAVY,hombre,2022-07-27
Estuche Accessory Case,$14.990,https://www.columbiachile.cl/clb-estuche-unisex-accessory-case-1890921/p?property__Color=%28316%29%20CYPRESS,hombre,2022-07-27
Crestwood Low,$79.990,https://www.columbiachile.cl/zapatilla-hombre-crestwood-low-columbia-1781181/p?property__Color=%28464%29COLLEGIATE%20NAVY,hombre,2022-07-27
Crestwood Low,$79.990,https://www.columbiachile.cl/zapatilla-hombre-crestwood-low-columbia-1781181/p?property__Color=%28203%29%20DARK%20BROWN,hombre,2022-07-27
Crestwood Low,$79.990,https://www.columbiachile.cl/zapatilla-hombre-crestwood-low-columbia-1781181/p?property__Color=%28011%29%20SHARK,hombre,2022-07-27
Parka Macleay™ Down Long,$159.990,https://www.columbiachile.cl/clb-parka-hombre-macleay-down-long-jk-1864432/p?property__Color=%28023%29%20CITY%20GREY,hombre,2022-07-27
